alacritty 0.7.2-1
ark 20.12.2-1
asciiquarium 1.1-6
autoconf 2.71-1
automake 1.16.3-1
baobab 3.38.0-1
base 2-2
bat 0.17.1-1
binutils 2.36.1-2
bison 3.7.3-1
bluedevil 1:5.21.1-1
breeze 5.21.1-1
breeze-gtk 5.21.1-1
bspwm 0.9.10-1
calc 2.12.7.1-2
cowsay 3.04-2
deluge-gtk 2.0.4.dev38+g23a48dd01-3
dialog 1:1.3_20210117-1
discord 0.0.13-1
discover 5.21.1-1
dnsmasq 2.84-1
dolphin 20.12.2-1
dolphin-plugins 20.12.2-1
dosfstools 4.2-1
drkonqi 5.21.1-1
dunst 1.5.0-1
ebtables 2.0.10_4-8
edk2-ovmf 202011-1
efibootmgr 17-2
exa 0.9.0-2
fakeroot 1.25.3-2
fd 8.2.1-1
ffmpegthumbs 20.12.2-1
filelight 20.12.2-1
firefox 86.0-1
flex 2.6.4-3
fortune-mod 2.12.0-1
gcc 10.2.0-6
git 2.30.1-1
gparted 1.2.0-2
groff 1.22.4-4
grub 2:2.04-10
gufw 21.04.0-1
gummi 2:0.8.1-2
gwenview 20.12.2-1
htop 3.0.5-1
imwheel 1.0.0pre12-5
jdk-openjdk 15.0.2.u7-1
jdk8-openjdk 8.u282-1
jre8-openjdk 8.u282-1
kactivitymanagerd 5.21.1-1
kate 20.12.2-1
kcalc 20.12.2-1
kde-cli-tools 5.21.1-1
kde-gtk-config 5.21.1-1
kdecoration 5.21.1-1
kdeplasma-addons 5.21.1-1
kdiff3 1.8.5-1
kgamma5 5.21.1-1
khotkeys 5.21.1-1
kinfocenter 5.21.1-1
kmenuedit 5.21.1-1
kscreen 5.21.1-1
kscreenlocker 5.21.1-1
ksshaskpass 5.21.1-1
ksysguard 5.21.1-1
kwallet-pam 5.21.1-1
kwayland-integration 5.21.1-1
kwayland-server 5.21.1-1
kwin 5.21.1-2
kwrited 5.21.1-1
leftwm 1:0.2.6-1
libkscreen 5.21.1-1
libksysguard 5.21.1-1
libtool 2.4.6+42+gb88cebd5-14
linux 5.11.2.arch1-1
linux-firmware 20210208.b79d239-1
linux-headers 5.11.2.arch1-1
m4 1.4.18-3
make 4.3-3
melonds-git 0.9.1.r1707.1112162-1
milou 5.21.1-1
minidlna 1.3.0-1
